"city","position_id","position_name","position_edu","position_salary","position_work_exp","company_name","company_id","company_industry","company_size","company_lat","company_long"
"广州","4340401","后端开发架构师（PHP、PYTHON）","本科","3k-6k","应届毕业生","抄哪儿","352249","移动互联网,电商","少于15人","23.039109","113.372124"
"深圳","4363684","python开发工程师","本科","15k-30k","不限","深信服科技集团","182070","信息安全,企业服务","2000人以上","22.591785","114.002407"
"广州","4445175","Python高级开发工程师","本科","15k-26k","3-5年","Arts Alliance Media（中国）","364753","数据服务","50-150人","23.097062","113.244207"
"深圳","4475515","Python","本科","10k-12k","3-5年","博悦科创","117217","移动互联网","500-2000人","22.556923","114.070226"
"北京","4775802","Python开发工程师-变现业务","本科","25k-40k","1-3年","字节跳动","62","文娱丨内容","2000人以上","39.971586","116.333692"
"北京","4828735","产品工程师-Python","本科","15k-30k","1-3年","豆瓣阅读","359383","文娱丨内容","50-150人","39.971327","116.489859"
"上海","4874171","Python中级开发工程师","本科","12k-18k","1-3年","易路","35796","移动互联网,企业服务","150-500人","31.16901","121.386397"
"上海","4955947","高级Python开发工程师--抖音上海","本科","25k-50k","3-5年","字节跳动","62","文娱丨内容","2000人以上","31.202726","121.481719"
"上海","5021923","Python 服务端研发工程师","本科","12k-20k","不限","一起长大","272497","教育","15-50人","31.194663","121.553147"
"北京","5077339","Python助教","本科","6k-12k","1-3年","慕课网","6040","移动互联网,教育","50-150人","39.960121","116.310447"
"上海","5093267","Python后端开发工程师","本科","20k-25k","1-3年","Glow","9455","移动互联网,医疗丨健康","15-50人","31.224888","121.478099"
"北京","5158022","Python开发工程师","本科","15k-25k","3-5年","信永中和","454889","企业服务","2000人以上","39.909192","116.441351"
"北京","5242007","python后台工程师","本科","20k-40k","3-5年","混沌大学","165649","移动互联网,教育","150-500人","39.967136","116.36005"
